respuesta,respuesta_LN,calificacion
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Su sabor unico e inconfundible,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sus diversas presentaciones,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
