respuesta,respuesta_LN,calificacion
Varias veces a la semana,Bebo Coca-Cola frecuentemente,5
Una vez a la semana,Cada semana consumo Coca-Cola,3
Ocasionalmente (menos de una vez a la semana),Bebo Coca-Cola en raras ocasiones,1
Varias veces a la semana,Tomo Coca-Cola varias veces por semana,5
Una vez a la semana,Con frecuencia bebo Coca-Cola semanalmente,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando consumo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola con regularidad,5
Una vez a la semana,Tomo Coca-Cola una vez cada semana,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando tomo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola frecuentemente,5
Una vez a la semana,Cada semana consumo Coca-Cola,3
Ocasionalmente (menos de una vez a la semana),Bebo Coca-Cola en raras ocasiones,1
Varias veces a la semana,Tomo Coca-Cola varias veces por semana,5
Una vez a la semana,Con frecuencia bebo Coca-Cola semanalmente,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando consumo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola con regularidad,5
Una vez a la semana,Tomo Coca-Cola una vez cada semana,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando tomo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola frecuentemente,5
Una vez a la semana,Cada semana consumo Coca-Cola,3
Ocasionalmente (menos de una vez a la semana),Bebo Coca-Cola en raras ocasiones,1
Varias veces a la semana,Tomo Coca-Cola varias veces por semana,5
Una vez a la semana,Con frecuencia bebo Coca-Cola semanalmente,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando consumo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola con regularidad,5
Una vez a la semana,Tomo Coca-Cola una vez cada semana,3
Ocasionalmente (menos de una vez a la semana),De vez en cuando tomo Coca-Cola,1
Varias veces a la semana,Bebo Coca-Cola frecuentemente,5
Una vez a la semana,Cada semana consumo Coca-Cola,3
Ocasionalmente (menos de una vez a la semana),Bebo Coca-Cola en raras ocasiones,1
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"Consumo Coca-Cola varias veces a la semana",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Cada semana tomo Coca-Cola",3
Ocasionalmente (menos de una vez a la semana),"De vez en cuando bebo Coca-Cola",1
Varias veces a la semana,"Frecuentemente bebo Coca-Cola",5
Una vez a la semana,"Consumo Coca-Cola semanalmente",3
Ocasionalmente (menos de una vez a la semana),"Consumo Coca-Cola de vez en cuando",1
Varias veces a la semana,"La tomo cada vez que se me es posible",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Bebo Coca-Cola de forma ocasional",1
Varias veces a la semana,"Con frecuencia consumo Coca-Cola",5
Una vez a la semana,"Tomo Coca-Cola una vez por semana",3
Ocasionalmente (menos de una vez a la semana),"Muy pocas veces",1
Varias veces a la semana,"Muy frecuentemente",5
Ocasionalmente (menos de una vez a la semana),"En escasa ocaciones",1
Varias veces a la semana,"Muy constantemente",5
